Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Left Knee Angle,Right Knee Angle,Label
184.18484350993197,187.97087949072255,192.98305195707312,183.07404654645757,180.49535449760324,178.97053813471058,tadasana.mp4
184.3021125205622,188.19376445520115,193.09047989817077,182.95933494012522,180.45986108430202,178.94854343885746,tadasana.mp4
184.38082583235996,188.33472110845682,193.19595785508017,182.85959068797615,180.44924266046166,178.94154242869251,tadasana.mp4
184.43556745668852,188.48914884531345,193.26613273026638,182.75864895451497,180.44727610086778,178.94086641820763,tadasana.mp4
184.44196905222287,188.69405292260174,193.31400651283025,182.5827188710693,180.45205364124686,178.94409193666743,tadasana.mp4
184.47333495195429,188.83664847071765,193.3478034112492,182.5253213243438,180.4492721574891,178.9410425506723,tadasana.mp4
184.55512053969127,188.89459593327692,193.40675781097667,182.48431134969294,180.4192247779044,178.9409839093554,tadasana.mp4
184.61042109556806,188.93762071045018,193.44947018242596,182.45605583324925,180.37173315522577,178.90068633815324,tadasana.mp4
184.61275998615582,188.9541019921395,193.4649994430722,182.43943455159118,180.28219895462306,178.89212273313214,tadasana.mp4
184.632471705829,188.90232273751428,193.48502548131856,182.46857402667774,180.24058834687645,178.85370208386996,tadasana.mp4
184.64769583623473,188.87932325227777,193.50208673580477,182.46856226480213,180.22544103359445,178.86144049432832,tadasana.mp4
184.6572881459034,188.84796844606745,193.5168213180667,182.48253230202914,180.18253984727028,178.84959610146228,tadasana.mp4
184.6672174619398,188.6657930286836,193.52863813626584,182.51336512926062,180.1336087292433,178.86160061778705,tadasana.mp4
184.57088859461928,187.89673015073072,193.37678581732192,182.6413493114466,180.12919248746311,178.89714927199557,tadasana.mp4
184.50133319569474,187.52442443497483,193.2471987794931,182.72004289943447,180.13069760461823,178.94303366776197,tadasana.mp4
184.45452647005968,187.29052288565703,193.1766387321457,182.7627260616769,180.12856315479894,178.95957734910965,tadasana.mp4
184.4279509507314,187.1708171461355,193.1256080545264,182.7354973430473,180.1433715927459,178.99670967179676,tadasana.mp4
184.4087754493279,187.17222540154614,193.11041041325535,182.6634478297172,180.14671773791613,178.99660547135963,tadasana.mp4
184.4156629749875,187.10528430522206,193.1088681405137,182.62825586086333,180.14870193456,179.00172991896642,tadasana.mp4
184.41574125350127,187.0838879128398,193.106831622706,182.6028883640839,180.15022331249818,179.00969859459784,tadasana.mp4
184.41624966089415,186.97854405060062,193.0915305549619,182.64059996244623,180.14359073220672,179.01511347097403,tadasana.mp4
184.40880377430614,186.82105360854953,193.08254362384687,182.70094119932648,180.14045071410084,179.01381088644445,tadasana.mp4
184.4074944690975,186.7417545755919,193.08727625884526,182.72838317689536,180.14574936527714,179.0137270844455,tadasana.mp4
